id,start ,location,cunlan,fabing,death,overtime,long,lat
75,20181123,内蒙古自治区包头市昆都仑区,88,69,53,20190130,109.838178,40.642236
76,20181125, 湖北省黄石市阳新县,63,9,5,20190110,115.215227,29.830258
77,20181129,天津市宁河区,361,,67,20190112,117.826625,39.329858
78,20181130,江西省九江市柴桑区,159,16,4,20190110,115.911323,29.608431
79,20181203,陕西省西安市鄠邑区,245,205,79,20190117,108.605028,34.108613
80,20181203,北京市通州区,9835,85,17,20190115,116.656435,39.909946
81,20181203, 黑龙江省农垦总局北安管理局（野猪） ,375,,77,20190124,126.510924,48.250199
82,20181205,四川省泸州市合江县,165,68,68,20190129,105.831067,28.811203
83,20181205,陕西省西安市长安区,245,85,64,20190117,108.906917,34.159016
84,20181205, 北京市顺义区,2461,53,26,20190121,116.654561,40.130347
85,20181206,山西省临汾市尧都区,91,45,35,20190118,111.579554,36.078841
86,20181210,陕西省榆林市神木市,33,19,19,20190121,110.498868,38.842498
87,20181210,贵州省贵阳市白云区,26,5,5,20190124,106.623007,26.678562
88,20181212,四川省巴中市巴州区,117,51,19,20190125,106.768878,31.851478
89,20181212,青海省西宁市大通县,69,14,14,20190123,101.685643,36.926955
90,20181216,四川省绵阳市盐亭县,210,35,26,20190128,105.389453,31.208363
91,20181216,黑龙江省鸡西市鸡冠区,84,24,24,20190128,130.980894,45.304073
92,20181218, 重庆市璧山区,23,8,3,20190131,106.227305,29.592024
93,20181219,广东省珠海市香洲区（屠宰场）,50,11,11,20190111,113.543785,22.265811
94,20181220,福建省三明市尤溪县,11950,27,27,20190201,118.190467,26.170171
95,20181221,贵州省黔南州龙里县,156,42,42,20190203,106.979524,26.453154
96,20181222,广东省广州市黄埔区,6027,30,9,20190203,113.459749,23.106402
97,20181224,福建省南平市延平区,5776,35,11,20190207,118.181894,26.637457
98,20181225,广东省惠州市博罗县,90,11,11,20190206,114.289496,23.172899
99,20181230,山西省晋城市泽州县,8016,24,7,20190213,112.899137,35.617221
100,20190101,黑龙江省绥化市明水县,73000,4686,3766,20190226,125.906301,47.173426
101,20190112,江苏省泗阳县,68969,2452,1369,20190228,118.703038,33.72314
102,20190113,甘肃省庆阳市庆城县驿马镇,109,44,9,20190228,107.611095,35.90081
103,20190118,甘肃省兰州市七里河区,190,143,37,20190305,103.785866,36.065915
104,20190120,宁夏回族自治区永宁县望远镇,57,26,13,20190305,106.270738,38.384684
105,20190208,湖南省永州市经济技术开发区,4600,270,171,20190323,111.590591,26.412891
106,20190218,广西壮族自治区北海市银海区,23555,1629,924,20190409,109.13999,21.449219
107,20190220,山东省济南市莱芜区,4504,17,3,20190405,117.119999,36.651216
108,20190221,云南省怒江州泸水市,300,6,2,20190405,98.857977,25.82288
109,20190224,河北省保定市徐水区,5600,,,20190412,115.62441,39.026233
110,20190424,内蒙古大兴安岭桑杜尔林场,222,222,210,20190525,111.765617,40.817498
111,20190227,陕西省榆林市靖边县,11334,150,62,20190414,108.793988,37.599438
112,20190307,广西贵港市港南区,3172,24,20,20190425,109.599557,23.075573
