OID,AREA,PERIMETER,NAME,ENAME,GB1999,POST_,疫情时,疫情类,发生次,疫情简,time,牛Otime,存栏,发病,死亡,类型
71,1252481400,153263.64,鄠邑区,huxian,610125,710300,2018-12-02,非洲猪瘟疫情,1,"12月2日20时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 陕西省西安市鄠邑区一养殖场排查出非洲猪瘟疫情，该养殖",20181202,1997,245,205,79,养殖场
72,1487490800,187976.08,哈尔滨市农,haerbinshi,230101,150000,2018-12-02,非洲猪瘟疫情野猪,1,"12月2日20时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 陕西省西安市鄠邑区一养殖场排查出非洲猪瘟疫情，该养殖",20181202,20181119,375,0,77,野猪场
73,1593323500,198090.83,天津市宁河,ninghexian,120221,301500,2018-11-29,非洲猪瘟疫情,1,"11月29日21时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 天津市宁河区一养殖场排查出非洲猪瘟疫情。截至目前，该",20181129,1997,361,0,67,养殖场
74,4846838300,1,北京市,beijingshi,110100,100000,2018-11-23,非洲猪瘟疫情,1,"11月23日9时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 北京市房山区青龙湖镇、琉璃河镇?",20181123,20181123,0,0,0,养殖场
75,4846838300,1,北京市房山,beijingshi,110100,100000,2018-11-23,非洲猪瘟疫情,2,"11月23日9时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 北京市房山区青龙湖镇、琉璃河镇?",20181123,20181123,429,0,37,养殖场
76,554473410,102444.01,上海市金山,jinshanxian,310227,201500,2018-11-17,非洲猪瘟疫情,1,11月17日16时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，上海市金山区一生猪养殖户排查出非洲猪瘟疫情。截至目,20181117,1997,314,50,11,养殖户
77,4382387200,374466.34,桃源县,taoyuanxian,430725,415700,2018-10-22,非洲猪瘟疫情,1,10月22日14时，农业农村部接到中国动物疫病预防控制中心报告，湖南省动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊为非洲猪瘟。阳性样,20181022,20181022,268,208,310,养殖场
78,3651915500,295242.28,镇雄县母享,zhenxiongxian,532128,553500,2018-10-20,非洲猪瘟疫情,1,10月20日20时，云南省动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（确诊为非洲猪瘟。阳性样品来自云南省昭通市镇雄县牛场镇一养殖场和母享镇一养,20181020,20181020,353,247,247,合作社
79,1099607200,205061.39,大洼县清水,dawaxian,211121,124200,2018-10-15,非洲猪瘟疫情,1,10月15日20时，盘锦市大洼区清水镇和王家街道排查出3起非洲猪瘟疫情。盘锦市大洼区清水镇一养殖场存栏生猪4323头，发病1030头，死亡1030头；盘锦市大洼区王家街道一养殖场存栏生猪3223头，发,20181015,20181015,4323,1030,1030,养殖场
80,1099607200,205061.39,大洼县清水,dawaxian,211121,124200,2018-10-15,非洲猪瘟疫情,1,10月15日20时，盘锦市大洼区清水镇和王家街道排查出3起非洲猪瘟疫情。盘锦市大洼区清水镇一养殖场存栏生猪4323头，发病1030头，死亡1030头；盘锦市大洼区王家街道一养殖场存栏生猪3223头，发,20181015,20181015,4323,1030,1030,养殖场
81,1099607200,205061.39,大洼县王家,dawaxian,211121,124200,2018-10-15,非洲猪瘟疫情,1,10月15日20时，盘锦市大洼区清水镇和王家街道排查出3起非洲猪瘟疫情。盘锦市大洼区清水镇一养殖场存栏生猪4323头，发病1030头，死亡1030头；盘锦市大洼区王家街道一养殖场存栏生猪3223头，发,20181015,20181015,3323,31,20,养殖户
82,1422625700,180960.09,台安县新台,taianxian,210321,114100,2018-10-12,非洲猪瘟疫情,3,10月8日鞍山市台安县一养殖户，该养殖户存栏生猪460头、发病160头、死亡160头。10月12日12时，阳性样品来自鞍山市台安县桑林镇一养殖户，该养殖户存栏生猪180头、发病14头、死亡14头。,20181012,20181012,120,88,72,养殖户
83,1422625700,180960.09,台安县桑林,taianxian,210321,114100,2018-10-08,非洲猪瘟疫情,3,10月8日鞍山市台安县一养殖户，该养殖户存栏生猪460头、发病160头、死亡160头。10月12日12时，阳性样品来自鞍山市台安县桑林镇一养殖户，该养殖户存栏生猪180头、发病14头、死亡14头。,20181008,20181008,460,160,160,养殖户
84,937718460,147913.03,佳木斯市,jiamusishi,230801,154000,2018-09-06,非洲猪瘟疫情,1,9月5日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，黑龙江省佳木斯市郊区长青乡某养殖户发生非洲猪瘟疫情，该养,20180606,20180606,203,26,10,养殖场
85,2531321300,258419.89,宣州市,xuanzhoushi,342501,242000,2018-09-03,非洲猪瘟疫情,1,9月2日，安徽省宣城市宣州区古泉镇、五星乡发生非洲猪瘟疫情。古泉镇某养殖场存栏生猪285头，死亡40头。五星乡某养殖场存栏生猪440头，死亡94头。9月3日，安徽省宣城市宣州区金坝办事处某,20180903,20180903,308,152,83,养殖场
86,2531321300,258419.89,宣州市,xuanzhoushi,342501,242000,2018-09-02,非洲猪瘟疫情,2,9月2日，安徽省宣城市宣州区古泉镇、五星乡发生非洲猪瘟疫情。古泉镇某养殖场存栏生猪285头，死亡40头。五星乡某养殖场存栏生猪440头，死亡94头。9月3日，安徽省宣城市宣州区金坝办事处某,20180902,20180902,725,134,134,养殖场
87,1343082600,209600.75,南陵县,nanlingxian,340223,242400,2018-08-29,非洲猪瘟疫情,1,8月29日，安徽省畜牧兽医部门在开展非洲猪瘟疫情排查时，发现芜湖市南陵县某养殖场生猪不明原因死亡。8月30日，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊为非洲,20180829,20180829,30,13,1,养殖户
88,1343082600,209600.75,南陵县,nanlingxian,340223,242400,2018-08-29,非洲猪瘟疫情,1,8月29日，安徽省畜牧兽医部门在开展非洲猪瘟疫情排查时，发现芜湖市南陵县某养殖场生猪不明原因死亡。8月30日，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊为非洲,20180829,20180829,459,185,80,养殖户
89,1020193400,134634.31,郑州市,zhengzhoushi,410101,450000,2018-08-14,非洲猪瘟疫情,1,　8月8日，河南省郑州市惠济区某屠宰场的猪出现疑似口蹄疫症状，发病猪5头。8月9日，河南省动物疫病预防控制中心诊断为口蹄疫病毒核酸阳性。8月14日，经国家口蹄疫参考实验室确诊，该起,20180814,20180814,260,30,30,养殖场
90,2289012000,208002.05,晋城市,jinchengshi,140501,480000,1905-06-19,非洲猪瘟疫情,1, ,20181230,1997,8016,24,7,养殖户
