OID,AREA,PERIMETER,NAME,ENAME,GB1999,POST_,疫情时,疫情类,发生次,疫情简,time,牛Otime,存栏,发病,死亡,类型
36,1189347300,161070.14,青阳县,qingyangxian,342923,242800,2018-11-09,非洲猪瘟疫情,1,11月9日22时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，安徽省青阳县一养殖场排查出非洲?,20181109,20181109,8339,96,47,养殖场
37,2026134900,220400.06,浠水县,xishuixian,421125,436200,2018-11-15,非洲猪瘟疫情,1,11月15日10时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，湖北省黄冈市浠水县一养殖场发生,20181115,20181115,636,24,13,养殖场
38,356194020,78815.56,新津县,xinjinxian,510132,611430,2018-11-17,非洲猪瘟疫情,1,11月17日12时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，新津县一养殖场排查出非洲猪瘟疫,20181117,20181117,117,27,13,养殖场
39,1428672100,161816.48,武穴市,wuxueshi,421182,436400,2018-11-12,非洲猪瘟疫情,1,11月12日21时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，湖北省武穴市两个相邻养殖户发生,20181112,20181112,147,7,6,养殖户
40,2911320100,263838.06,丰都县,fengduxian,500230,408200,2018-11-04,非洲猪瘟疫情,1,11月4日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，重庆市丰都县兴义镇一养殖场排查出非?,20181104,20181104,309,3,3,养殖场
41,2572690200,255948.2,阳新县,yangxinxian,420222,435200,2018-11-25,非洲猪瘟疫情,1,"11月25日14时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 湖北省黄石市阳新县一养殖户排查",20181125,20181125,63,9,5,养殖户
42,920296830,160659.61,璧山县,bishanxian,500227,402760,2018-12-18,非洲猪瘟疫情,1,12月18日15时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，重庆市璧山区一养殖户发生非洲猪,20181218,20181218,23,8,3,养殖户
43,360790780,88576.88,九江市,jiujiangshi,360401,332000,2018-11-30,非洲猪瘟疫情,1,"11月30日18时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 江西省九江市柴桑区一养殖场排查",20181130,20181130,159,16,4,养殖场
44,4306416100,354353.91,鄱阳县,boyangxian,362330,333100,2018-11-17,非洲猪瘟疫情,1,11月17日12时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，鄱阳县一养殖场、呈贡区一屠宰场,20181117,20181117,150,10,10,养殖场
45,924990780,216846.92,三门县,sanmenxian,331022,317100,2018-10-21,非洲猪瘟疫情,1,10月21日17时，农业农村部接到中国动物疫病预防控制中心报告，浙江省动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确,20181021,20181021,2280,56,56,合作社
46,4382387200,374466.34,桃源县,taoyuanxian,430725,415700,2018-10-27,非洲猪瘟疫情,2,"10月22日14时，常德市桃源县,存栏生猪268头、发病208头、死亡31头。。10月27日21时，农业农村部接到中国动物疫病预防控制中心报告，湖南省动物疫病预防控制中心?",20181027,20181027,7684,106,99,养殖场
47,2301218600,308074.47,合江县,hejiangxian,510522,646200,2018-12-05,非洲猪瘟疫情,1,"12月5日16时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 四川省泸州市合江县一养殖户查出?",20181205,20181205,165,68,68,养殖户
48,1221721200,163573.31,万年县,wannianxian,362331,335500,2018-11-08,非洲猪瘟疫情,1,11月8日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊江西省上饶市万年县一养殖户排查出?,20181108,20181108,154,49,49,养殖户
49,1117256100,195239.48,乐清县,leqingxian,330382,325600,2018-08-17,非洲猪瘟疫情,1,8月17日，浙江省温州市乐清市畜牧兽医局接到报告，某养殖小区3个养殖户的生猪出现不明原因死亡。截至目前，发病430头，死亡340头。8月22日，经中国动物卫生与流行病学中心（国家外来动物,20180817,20180817,430,430,340,养殖场
50,5906999800,377373.81,沅陵县,yuanlingxian,431222,419600,2018-10-30,非洲猪瘟疫情,1,10月30日12时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，湖南省怀化市沅陵县一养殖户发生,20181030,20181030,144,25,22,养殖户
51,1845631900,225680.34,保靖县,baojingxian,433125,416500,2018-11-05,非洲猪瘟疫情,1,11月5日9时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，湖南省湘西土家族苗族自治州保靖县,20181105,20181105,1196,11,4,养殖户
