OID,start,cunlan,fabing,death,province,city,overtime,location,Long,Lat
43,20181021,353,247,247,云南省,昭通市,20181227,云南省昭通市母享镇养殖专业合作社,105.190509,27.562278
44,20181022,2280,56,56,浙江省,台州市,20181204,浙江省台州市三门县,121.395777,29.104873
45,20181223,546,44,17,湖南省,益阳市,20181207,湖南省益阳市桃江县,112.155822,28.518085
46,20181023,268,208,31,湖南省,常德市,20181217,湖南省常德市桃源县,111.488925,28.902503
47,20181025,10,8,8,贵州省,毕节市,20181213,贵州省毕节市赫章县,104.727418,27.123079
48,20181026,49,25,25,贵州省,毕节市,20181223,贵州省毕节市七星关区,105.305138,27.298494
49,20181028,7684,106,99,湖南省,常德市,20181217,湖南省常德市桃源县,111.488925,28.902503
50,20181030,210,75,47,山西省,太原市,20181217,山西省太原市阳曲县,112.672953,38.058489
51,20181030,144,25,22,湖南省,怀化市,20181217,湖南省怀化市沅陵县,110.393844,28.452686
52,20181030,36,5,1,云南省,普洱市,20181211,云南省普洱市思茅区,100.977165,22.78691
53,20181103,47,25,7,山西省,太原市,20181217,山西省太原市阳曲县西凌井乡,112.422273,38.13597
54,20181104,309,3,3,重庆市,重庆市,20181221,重庆市丰都县兴义镇,107.818939,29.948571
55,20181105,119,11,4,湖南省,湘西土家族苗族自治州,20181220,湖南省湘西土家族苗族自治州保靖县,109.660577,28.699774
56,20181107,821,22,4,湖北省,黄冈市,20181226,湖北省罗田县,115.399492,30.7831
57,20181108,9,4,1,湖南省,娄底市,20181224, 湖南省娄底市涟源市,111.664316,27.692542
58,20181108,154,49,49,江西省,上饶市,20181224,江西省上饶市万年县,117.058445,28.694582
59,20181108,930,144,144,吉林省,延边朝鲜族自治州,20181220,吉林省延边朝鲜族自治州龙井市,129.427066,42.766311
60,20181108,4521,85,85,福建省,莆田市,20181222,福建省莆田市城厢区,118.993885,25.419319
61,20181110,8339,96,47,安徽省,池州市,20181224,安徽省青阳县,117.847362,30.63923
62,20181113,147,7,6,湖北省,黄冈市,20181229,湖北省武穴市,115.561217,29.844107
63,20181115,636,24,13,湖北省,黄冈市,20190103,湖北省黄冈市浠水县,115.265535,30.451867
64,20181116,40,16,10,四川省,宜宾市,20181230,四川省宜宾市高县,104.518187,28.435036
